time_s,r_x_km,r_y_km,r_z_km,v_x_kms,v_y_kms,v_z_kms,rho_x_km,rho_y_km,rho_z_km,rho_dot_x_kms,rho_dot_y_kms,rho_dot_z_kms
0.0,42164.14,0.0,0.0,-5.148463837214206e-06,3.0746749317204256,9.142632049684275e-06,0.0,0.0,0.0,-5.148463837214206e-06,1.3752091933095954e-05,9.142632049684275e-06
3600.0,40719.52309719363,10942.127702275911,0.03253669537538809,-0.7979458180188208,2.9693323997605128,8.829369934629479e-06,-0.005400255351159854,0.05207852458352702,0.03253669537538809,2.1655739185243444e-06,1.45396612048463e-05,8.829369934629479e-06
7200.0,36484.68780936037,21134.468548690555,0.06284371570355873,-1.541214231153796,2.660521068116175,7.911044524620042e-06,0.015413756374221007,0.10008715090609316,0.06284371570355873,9.331305443806001e-06,1.1504022212872562e-05,7.911044524620042e-06
10800.0,29749.793739365414,29878.59969542396,0.08884414070768695,-2.1788814538682595,2.1693964703444752,6.450571579794438e-06,0.06101633104666428,0.13055907404280195,0.08884414070768695,1.585782873077957e-05,4.8530306456868345e-06,6.450571579794438e-06
14400.0,20976.310960476738,36575.312803169414,0.10875610979448945,-2.6672510134803535,1.5296056677181686,4.548015837789999e-06,0.12828345153130544,0.13122841991949408,0.10875610979448945,2.129795697460178e-05,-4.957810881169407e-06,4.548015837789999e-06
18000.0,10765.412653916623,40765.67346950213,0.12121492915214212,-2.9728528618448213,0.7849838653114521,2.333740354502191e-06,0.21260649444923785,0.09187055091005981,0.12121492915214212,2.527883650391209e-05,-1.7256491456687763e-05,2.333740354502191e-06
21600.0,-183.2064237518462,42162.476593275234,0.12536661477938094,-3.0747378031778245,-0.013447228505944691,-4.052084009707044e-08,0.3082076352151833,0.005002784005777144,0.12536661477938094,2.752750368416135e-05,-3.120045970236745e-05,-4.052084009707044e-08
25200.0,-11119.26781351331,40669.94064444997,0.12092645633254188,-2.965914942821253,-0.8109742247239612,-2.412056802642299e-06,0.40853545643651706,-0.13360251063134046,0.12092645633254188,2.7889628189596295e-05,-4.5834293372352285e-05,-2.412056802642299e-06
28800.0,-21293.32143811114,36390.287834008974,0.10819857812913639,-2.6538331566604536,-1.5529409978332944,-4.618329403100954e-06,0.5067137475955212,-0.32462768183398416,0.10819857812913639,2.634014831148652e-05,-6.015513731606888e-05,-4.618329403100954e-06
32400.0,-30008.10958712878,29616.754831842834,0.08805514356849461,-2.1598729416887426,-2.1884949701012713,-6.508114968116703e-06,0.5960127918079653,-0.5651624702261461,0.08805514356849461,2.298505355847422e-05,-7.318143498080083e-05,-6.508114968116703e-06
36000.0,-36666.36145319029,20813.508730014553,0.06187661547280765,-1.517882848042479,-2.674073796275551,-7.951873632433776e-06,0.6703108318001199,-0.8489029794790203,0.06187661547280765,1.8054174728576812e-05,-8.402024127979902e-05,-7.951873632433776e-06
39600.0,-40811.73953584467,10583.841617795826,0.03145715771035311,-0.7718603566819736,-2.976393015611523,-8.850634275045473e-06,0.7245140216185878,-1.1665834376612982,0.03145715771035311,1.1885460884928014e-05,-9.19284908427462e-05,-8.850634275045473e-06
43200.0,-42160.1274956459,-371.17751297471153,-0.0011183412903556576,0.02706399636001356,-3.074729286389182,-9.142784203845361e-06,0.7549059735840173,-1.5066112249003834,-0.0011183412903556576,4.901813051937789e-06,-9.636400233844442e-05,-9.142784203845361e-06
46800.0,-40619.11109362211,-11300.758534909091,-0.033617190732550206,0.8241323601720557,-2.9623421151481293,-8.808296420233127e-06,0.7594028238451549,-1.855861634366247,-0.033617190732550206,-2.4179363728814695e-06,-9.70227010114244e-05,-8.808296420233127e-06
50400.0,-36294.31427626045,-21455.857025100693,-0.06381196024053849,1.564714432481862,-2.6469362224602677,-7.870103477806093e-06,0.7376962352700059,-2.2005778118010486,-0.06381196024053849,-9.57189960600947e-06,-9.385949018430697e-05,-7.870103477806093e-06
54000.0,-29482.155371381905,-30140.520808372985,-0.08963318014913603,2.1980534852337663,-2.150132738516482,-6.392523418592867e-06,0.6912744853405237,-2.5273140598474706,-0.08963318014913603,-1.6069595700169153e-05,-8.7091332194673e-05,-6.392523418592867e-06
57600.0,-20649.52130238789,-36759.5932573722,-0.10931120157450344,2.68074622283497,-1.5059856857023741,-4.4768463145884145e-06,0.6233202033736892,-2.8238577092413397,-0.10931120157450344,-2.1465619452009007e-05,-7.718233003566406e-05,-4.4768463145884145e-06
61200.0,-10401.756144853018,-40859.50139469699,-0.12149748540964855,2.979717577186687,-0.7586459117964817,-2.2543853730666024e-06,0.538491835343634,-3.080066256934012,-0.12149748540964855,-2.5390194908231738e-05,-6.481184547251066e-05,-2.2543853730666024e-06
64800.0,558.8378469888298,-42159.33284429554,-0.12535700548430515,3.0744864633357487,0.04066679222056581,1.2252923800741131e-07,0.44260392370898527,-3.288562340879735,-0.12535700548430515,-2.7574511871847616e-05,-5.082785932172574e-05,1.2252923800741131e-07
68400.0,11481.138642585416,-40570.07350198716,-0.12062543771379027,2.958567449296204,0.8371752747134753,2.490994778923816e-06,0.34222823594219876,-3.4452389437934006,-0.12062543771379027,-2.78691105114004e-05,-3.618879266024115e-05,2.490994778923816e-06
72000.0,21616.680510956143,-36200.691044440326,-0.10762722611668811,2.639912788455362,1.5762992388799242,4.688701489759983e-06,0.24424317835221374,-3.5495402983304434,-0.10762722611668811,-2.6254064225664913e-05,-2.1897794256501166e-05,4.688701489759983e-06
75600.0,30270.939408660186,-29350.651823477336,-0.08725330077980105,2.140365170356905,2.2073947056403647,6.565053748414289e-06,0.1553624278363287,-3.604499387470823,-0.08725330077980105,-2.2840279011287105e-05,-8.934006429350206e-06,6.565053748414289e-06
79200.0,36850.91471781256,-20489.388188682886,-0.060899987437772835,1.494159310018763,2.6872226894578164,7.991485332977683e-06,0.08167507586909337,-3.6165296262181754,-0.060899987437772835,-1.7861838003293125e-05,1.8144829850454104e-06,7.991485332977683e-06
82800.0,40905.75009373596,-10224.126203790916,-0.030373304010280235,0.745575481542586,2.982909888667163,8.870263348112348e-06,0.028228730757785293,-3.594985125830829,-0.030373304010280235,-1.1659930393837915e-05,9.611421516393995e-06,8.870263348112348e-06
86400.0,42157.61418542381,741.7207573216261,0.0022347947239218934,-0.05409409191217385,3.07419914691683,9.141179379078985e-06,-0.001315960337039822,-3.551519737493677,0.0022347947239218934,-4.659473691235724e-06,1.3922761478126243e-05,9.141179379078985e-06
90000.0,40520.72925569374,11656.742874926704,0.03468974757767584,-0.8500583306865288,2.954836082309018,8.785671140653938e-06,-0.004935814614359922,-3.499288780908444,0.03468974757767584,2.6599700941875184e-06,1.44531888921714e-05,8.785671140653938e-06
93600.0,36107.24658234057,21773.01023651021,0.06476747992430916,-1.5877796330365885,2.6329972809052857,7.828093399279967e-06,0.017616426809620205,-3.4520480684055954,0.06476747992430916,9.797001292908866e-06,1.116632686554402e-05,7.828093399279967e-06
97200.0,29219.566763867686,30397.3115347971,0.0904067804232879,-2.2167089582836454,2.130730821299586,6.334051394813919e-06,0.06479512028613783,-3.423211823470377,0.0904067804232879,1.626268013064233e-05,4.287237933729851e-06,6.334051394813919e-06
100800.0,20329.62963232286,36938.64803299628,0.109850531171751,-2.6937483157081488,1.482447240671343,4.40591029512715e-06,0.13336739655409152,-3.424933897483927,0.109850531171751,2.161398208615616e-05,-5.712948795970113e-06,4.40591029512715e-06
104400.0,10046.58952149205,40948.730982201116,0.12176612082454479,-2.9862037987014465,0.7325638465607293,2.1757869266996676e-06,0.2186343206862064,-3.4672751224554927,0.12176612082454479,2.5484132655155603e-05,-1.8149245922727646e-05,2.1757869266996676e-06
108000.0,-924.9133976570806,42152.708007822286,0.12533679055221705,-3.074026905244027,-0.06753684285761181,-2.034978474049671e-07,0.3147524876356573,-3.557513797940477,0.12533679055221705,2.760774991944258e-05,-3.21696651311509e-05,-2.034978474049671e-07
111600.0,-11833.030337343753,40468.01124571916,0.12031764785223534,-2.9511903187615283,-0.8630267122370349,-2.568887867555162e-06,0.4151341341665094,-3.699646582140302,0.12031764785223534,2.7839070127150552e-05,-4.6813535243156316e-05,-2.568887867555162e-06
115200.0,-21930.224165031006,36010.032104967475,0.10705249900978404,-2.6261033602144277,-1.5993889391878244,-4.75826531456793e-06,0.5128984437633854,-3.894114084024057,0.10705249900978404,2.6161996875919163e-05,-6.107730257636414e-05,-4.75826531456793e-06
118800.0,-30524.502847659496,29084.22932333235,0.08645033338163664,-2.121037991904232,-2.226154812572875,-6.6215637879093715e-06,0.6013431645734166,-4.137770104268176,0.08645033338163664,2.2691269083267255e-05,-7.398331323980193e-05,-6.6215637879093715e-06
122400.0,-37026.85351584092,20165.20692447133,0.059923058587410157,-1.4706040935097657,-2.700364166331044,-8.031058509483216e-06,0.6744042061804908,-4.424096787053229,0.059923058587410157,1.766465009853571e-05,-8.46468609474185e-05,-8.031058509483216e-06
126000.0,-40991.62306576665,9864.192991164744,0.02928874538864518,-0.719378083057914,-2.989511779864464,-8.890126909639242e-06,0.7270716456248902,-4.743651062260263,0.02928874538864518,1.1426658918217046e-05,-9.233689184219244e-05,-8.890126909639242e-06
129600.0,-42147.07362764747,-1112.8528188627945,-0.0033529888615401356,0.08115271252858608,-3.0737771830947396,-9.139877269454082e-06,0.7557335212871608,-5.084711842951559,-0.0033529888615401356,4.404951319164869e-06,-9.652618533666252e-05,-9.139877269454082e-06
133200.0,-40414.014779412304,-12013.630563111978,-0.035764912952986644,0.8761203024673531,-2.9473844477775106,-8.763189311270098e-06,0.7584237322761287,-5.43408360614027,-0.035764912952986644,-2.9190284859708952e-06,-9.692754963166302e-05,-8.763189311270098e-06
136800.0,-35911.23284881712,-22091.070417458577,-0.06572555607079958,1.6110384576338885,-2.6189983690870613,-7.785888598004234e-06,0.7349569561379601,-5.778001192988513,-0.06572555607079958,-1.004310378728661e-05,-9.351353354664924e-05,-7.785888598004234e-06
140400.0,-28947.34456511525,-30654.543699062353,-0.091181499043567,2.235538833230304,-2.1111297889212555,-6.274973962225065e-06,0.6869412901038018,-6.103073679569467,-0.091181499043567,-1.647884716288312e-05,-8.651829530009688e-05,-6.274973962225065e-06
