time_s,r_x_km,r_y_km,r_z_km,v_x_kms,v_y_kms,v_z_kms,rho_x_km,rho_y_km,rho_z_km,rho_dot_x_kms,rho_dot_y_kms,rho_dot_z_kms
0.0,42164.14,0.0,0.0,1.168524860864219e-05,3.0746497564259876,-1.4028780821958394e-05,0.0,0.0,0.0,1.168524860864219e-05,-1.142320250463158e-05,-1.4028780821958394e-05
360.0,42149.61581773034,1106.746778506283,-0.005049780976217572,-0.08069694917005624,3.0735903324149927,-1.4023946602491229e-05,0.00409825660262511,-0.004220889779300223,-0.005049780976217572,1.1081536158797253e-05,-1.2020902235250552e-05,-1.4023946602491229e-05
720.0,42106.04487208344,2212.730859415912,-0.010096081714589346,-0.16134995581828954,3.0704127910199945,-1.4009447278285242e-05,0.007977789810194837,-0.008651221593548536,-0.010096081714589346,1.0470188408024814e-05,-1.2586702559869252e-05,-1.4009447278285242e-05
1080.0,42033.45719397653,3317.1900709407664,-0.015135424376745716,-0.2418917613917807,3.065119322382146,-1.398529284383693e-05,0.01163592656069933,-0.013279440829633522,-0.015135424376745716,9.851626530023059e-06,-1.3120213678445082e-05,-1.398529284383693e-05
1440.0,41931.90280807077,4419.363292166602,-0.020164335919877912,-0.3222668692133447,3.0577135742132486,-1.3951499945124435e-05,0.015070146336853697,-0.018093856541016952,-0.020164335919877912,9.226276667238941e-06,-1.3621068028242013e-05,-1.3951499945124435e-05
1800.0,41801.45169830581,5518.490977356329,-0.02517935048934477,-0.4024198974416347,3.048200649283564,-1.3908091868142572e-05,0.018278082887958156,-0.023082649499950526,-0.02517935048934477,8.594569637280111e-06,-1.4088920538476628e-05,-1.3908091868142572e-05
2160.0,41642.193759692855,6613.815679168722,-0.030177011806329857,-0.48229561720085967,3.0365871019088932,-1.3855098522870765e-05,0.02125752583197415,-0.02823388033704131,-0.030177011806329857,7.956940636613483e-06,-1.452344886524648e-05,-1.3855098522870765e-05
2520.0,41454.23873639907,7704.582570432714,-0.035153875548906595,-0.561838990605344,3.022880933439368,-1.3792556422685052e-05,0.024006422206338578,-0.03353549776096178,-0.035153875548906595,7.313828941480069e-06,-1.4924353616803531e-05,-1.3792556422685052e-05
2880.0,41237.71614616605,8790.03996411839,-0.040106511724873645,-0.6409952086528335,3.0070915867530226,-1.3720508659228186e-05,0.0265228778816377,-0.03897534686523163,-0.040106511724873645,6.6656776046635335e-06,-1.5291358559617222e-05,-1.3720508659228186e-05
3240.0,40992.77519111418,9869.439831147103,-0.045031507034728566,-0.7197097289605404,2.98922993975794,-1.3639004872755094e-05,0.028805158890396674,-0.04454117749964482,-0.045031507034728566,6.012933151534895e-06,-1.5624210806995722e-05,-1.3639004872755094e-05
3600.0,40719.58465499419,10942.038315684553,-0.04992546722315442,-0.7979283133180289,2.969308297907399,-1.3548101217973974e-05,0.030851692530847793,-0.050220652700521826,-0.04992546722315442,5.356045272120157e-06,-1.5922680991942064e-05,-1.3548101217973974e-05
3960.0,40418.332786956606,12007.096247562433,-0.054785019417401784,-0.8755970650311674,2.9473403857331695,-1.3447860325406446e-05,0.032661068560381847,-0.05600135718241283,-0.054785019417401784,4.695466513286981e-06,-1.618656342886704e-05,-1.3447860325406446e-05
4320.0,40089.22717191871,13063.87965147615,-0.05960681445095783,-0.9526624660315142,2.9233413374027317,-1.3338351258293153e-05,0.034232040109013324,-0.06187080591508613,-0.05960681445095783,4.031651964152749e-06,-1.641567625301364e-05,-1.3338351258293153e-05
4680.0,39732.49458761829,14111.660252608472,-0.06438752917090394,-1.029071413725663,2.897327686306892,-1.3219649465074396e-05,0.035563524540562115,-0.06781645268348589,-0.06438752917090394,3.3650589460308135e-06,-1.6609861546160266e-05,-1.3219649465074396e-05
5040.0,39348.38084845211,15149.715978331178,-0.06912386872737475,-1.1047712575592539,2.8693173536849237,-1.3091836727478239e-05,0.03665460423287442,-0.07382569876485176,-0.06912386872737475,2.6961466965277336e-06,-1.67689854460934e-05,-1.3091836727478239e-05
5400.0,38937.150636206534,16177.331455639727,-0.07381256884354338,-1.1797098352705453,2.8393296362950076,-1.2955001104251656e-05,0.03750452714891969,-0.0798859015718835,-0.07381256884354338,2.0253760550510373e-06,-1.689293823575335e-05,-1.2955001104251656e-05
5760.0,38499.08731779651,17193.79850397865,-0.07845039806457173,-1.2538355088086581,2.8073851931384124,-1.280923687057322e-05,0.038112707440002086,-0.08598438340460907,-0.07845039806457173,1.3532091403368063e-06,-1.6981634428372917e-05,-1.280923687057322e-05
6120.0,38034.49275013795,18198.41662311873,-0.08303415998397758,-1.3270971998918235,2.773506031246506,-1.2654644453188767e-05,0.03847872575346958,-0.09210844012531826,-0.08303415998397758,6.801090406755011e-07,-1.703501281227141e-05,-1.2654644453188767e-05
