x,y,id,time
50.0,0.0,0.0,0.0
50.0,3.5,0.0,1.0
50.0,6.859999999999999,0.0,2.0
50.0,10.0856,0.0,3.0
50.0,13.182175999999998,0.0,4.0
50.0,16.154888959999997,0.0,5.0
50.0,19.008693401599995,0.0,6.0
50.0,21.748345665535993,0.0,7.0
50.0,24.378411838914552,0.0,8.0
50.0,26.903275365357967,0.0,9.0
50.0,29.327144350743644,0.0,10.0
50.0,31.654058576713897,0.0,11.0
50.0,33.887896233645336,0.0,12.0
50.0,36.03238038429952,0.0,13.0
50.0,38.091085168927535,0.0,14.0
50.0,40.06744176217043,0.0,15.0
50.0,41.96474409168361,0.0,16.0
50.0,43.786154328016266,0.0,17.0
50.0,45.53470815489561,0.0,18.0
50.0,47.21331982869978,0.0,19.0
50.0,48.824787035551786,0.0,20.0
50.0,50.37179555412971,0.0,21.0
50.0,51.85692373196452,0.0,22.0
50.0,53.28264678268594,0.0,23.0
50.0,54.6513409113785,0.0,24.0
50.0,55.965287274923355,0.0,25.0
50.0,57.22667578392642,0.0,26.0
50.0,58.43760875256936,0.0,27.0
50.0,59.600104402466584,0.0,28.0
50.0,60.71610022636792,0.0,29.0
50.0,61.7874562173132,0.0,30.0
50.0,62.815957968620665,0.0,31.0
50.0,63.80331964987584,0.0,32.0
50.0,64.7511868638808,0.0,33.0
50.0,65.66113938932557,0.0,34.0
50.0,66.53469381375254,0.0,35.0
50.0,67.37330606120244,0.0,36.0
50.0,68.17837381875434,0.0,37.0
50.0,68.95123886600416,0.0,38.0
50.0,69.693189311364,0.0,39.0
50.0,70.40546173890944,0.0,40.0
50.0,71.08924326935306,0.0,41.0
50.0,71.74567353857894,0.0,42.0
50.0,72.37584659703577,0.0,43.0
50.0,72.98081273315434,0.0,44.0
50.0,73.56158022382816,0.0,45.0
50.0,74.11911701487503,0.0,46.0
50.0,74.65435233428002,0.0,47.0
50.0,75.16817824090882,0.0,48.0
50.0,75.66145111127246,0.0,49.0
50.0,76.13499306682155,0.0,50.0
50.0,76.58959334414868,0.0,51.0
50.0,77.02600961038273,0.0,52.0
50.0,77.44496922596741,0.0,53.0
50.0,77.84717045692871,0.0,54.0
50.0,78.23328363865156,0.0,55.0
50.0,78.6039522931055,0.0,56.0
50.0,78.95979420138127,0.0,57.0
50.0,79.30140243332602,0.0,58.0
50.0,79.62934633599298,0.0,59.0
50.0,79.94417248255326,0.0,60.0
50.0,80.24640558325112,0.0,61.0
50.0,80.53654935992107,0.0,62.0
50.0,80.82669313659102,0.0,63.0
50.0,81.11683691326097,0.0,64.0
50.0,81.40698068993092,0.0,65.0
50.0,81.69712446660087,0.0,66.0
50.0,81.98726824327082,0.0,67.0
50.0,82.27741201994077,0.0,68.0
50.0,82.56755579661072,0.0,69.0
50.0,82.85769957328067,0.0,70.0
50.0,83.14784334995062,0.0,71.0
50.0,83.43798712662057,0.0,72.0
50.0,83.72813090329052,0.0,73.0
50.0,84.01827467996047,0.0,74.0
50.0,84.30841845663042,0.0,75.0
50.0,84.59856223330037,0.0,76.0
50.0,84.88870600997032,0.0,77.0
50.0,85.17884978664027,0.0,78.0
50.0,85.46899356331022,0.0,79.0
50.0,85.75913733998017,0.0,80.0
50.0,86.04928111665012,0.0,81.0
50.0,86.33942489332007,0.0,82.0
50.0,86.62956866999002,0.0,83.0
50.0,86.91971244665997,0.0,84.0
50.0,87.20985622332992,0.0,85.0
50.0,87.49999999999987,0.0,86.0
50.0,87.79014377666982,0.0,87.0
50.0,88.08028755333977,0.0,88.0
50.0,88.37043133000972,0.0,89.0
50.0,88.66057510667967,0.0,90.0
50.0,88.95071888334962,0.0,91.0
50.0,89.24086266001957,0.0,92.0
50.0,89.53100643668952,0.0,93.0
50.0,89.82115021335947,0.0,94.0
50.0,90.11129399002942,0.0,95.0
50.0,90.40143776669937,0.0,96.0
50.0,90.69158154336932,0.0,97.0
50.0,90.98172532003927,0.0,98.0
50.0,91.27186909670922,0.0,99.0
50.0,91.56201287337917,0.0,100.0
