time_s,r_x_km,r_y_km,r_z_km,v_x_kms,v_y_kms,v_z_kms,rho_x_km,rho_y_km,rho_z_km,rho_dot_x_kms,rho_dot_y_kms,rho_dot_z_kms
0.0,42164.14,0.0,0.0,-8.310656108191503e-07,3.0746629423282577,-7.554319502946197e-06,0.0,0.0,0.0,-8.310656108191503e-07,1.762699765344163e-06,-7.554319502946197e-06
360.0,42149.611310843764,1106.751524865836,-0.0027192426339604702,-0.08070947386855432,3.073603513552116,-7.551716336890013e-06,-0.0002824916664756052,0.0006421339910911797,-0.0027192426339604702,-7.382423963323961e-07,1.8038990250075337e-06,-7.551716336890013e-06
720.0,42106.03585240724,2212.740348589082,-0.005436611203563643,-0.16136250467561675,3.070425957016426,-7.543908632058501e-06,-0.000531473481759365,0.0012982208203651223,-0.005436611203563643,-6.449105194621941e-07,1.8402110845377977e-06,-7.543908632058501e-06
1080.0,42033.44365020499,3317.204295431209,-0.008150232935540113,-0.24190434863631563,3.0651324616876225,-7.5309017674508506e-06,-0.0007467739177360972,0.0019664964927967278,-0.008150232935540113,-5.511342780384731e-07,1.8716109269893608e-06,-7.5309017674508506e-06
1440.0,41931.88472406443,4419.382240127471,-0.010858237637974583,-0.32227950746036216,3.0577266742300977,-7.512704704101736e-06,-0.000928244600094097,0.0026451886114509508,-0.010858237637974583,-4.569782760294353e-07,1.8980769151386732e-06,-7.512704704101736e-06
1800.0,41801.42905368297,5518.514632236651,-0.013558758988802773,-0.4024325976348089,3.0482136964974798,-7.489329978916113e-06,-0.001075760487852467,0.0033325176061965184,-0.013558758988802773,-3.62507378669379e-07,1.919590813478909e-06,-7.489329978916113e-06
2160.0,41642.1665304406,6613.844019407401,-0.01624993582164583,-0.4823083885623735,3.0366000820226713,-7.46079369604348e-06,-0.0011892199299257892,0.004026697951664515,-0.01624993582164583,-2.6778666867067865e-07,1.936137795995128e-06,-7.46079369604348e-06
2520.0,41454.20689550067,7704.615569201132,-0.018929913408097444,-0.5618518405947477,3.022893831509088,-7.427115515797556e-06,-0.0012685447400210123,0.004725939404526927,-0.018929913408097444,-1.7288140038625467e-07,1.947706457120873e-06,-7.427115515797556e-06
2880.0,41237.67966424158,8790.077589112403,-0.02159684473558133,-0.6410081429347663,3.0071043873261636,-7.388318641128962e-06,-0.0013136802487438782,0.0054284482321715665,-0.02159684473558133,-7.785695600288763e-08,1.9542888196218855e-06,-7.388318641128962e-06
3240.0,40992.73403707116,9869.482044429022,-0.024248891779899764,-0.7197227513814002,2.9892426270128976,-7.344429801660141e-06,-0.0013245953112267235,0.006132428441592373,-0.024248891779899764,1.722120027321409e-08,1.955880341165497e-06,-7.344429801660141e-06
