time_s,r_x_km,r_y_km,r_z_km,v_x_kms,v_y_kms,v_z_kms,rho_x_km,rho_y_km,rho_z_km,rho_dot_x_kms,rho_dot_y_kms,rho_dot_z_kms
0.0,42164.14,0.0,0.0,-6.4389045008379385e-06,3.0746552397204083,8.536664886560572e-06,0.0,0.0,0.0,-6.4389045008379385e-06,-5.93990808405964e-06,8.536664886560572e-06
360.0,42149.609291545545,1106.748752236178,0.003072846349974997,-0.08071508571013429,3.07359581349415,8.533723210815654e-06,-0.002373871856787727,-0.002076536532946847,0.003072846349974997,-6.74851518015056e-06,-5.593696666527882e-06,8.533723210815654e-06
720.0,42106.03181085597,2212.7348051067775,0.006143574936438352,-0.16136812906299364,3.0704182641680298,8.524900208902198e-06,-0.004858372936728294,-0.004025525401614812,0.006143574936438352,-7.053476108696867e-06,-5.231350627224832e-06,8.524900208902198e-06
1080.0,42033.43758022956,3317.195984424903,0.009210069454234063,-0.24190999488715031,3.065124779998291,8.510201957334562e-06,-0.007451791451932987,-0.005841202742186971,0.009210069454234063,-7.353577186907837e-06,-4.853119589249563e-06,8.510201957334562e-06
1440.0,41931.87661600683,4419.371166210044,0.012270216514498071,-0.3222851856206373,3.0577190068744042,8.489638580292194e-06,-0.0101523405223021,-0.00751789653110238,0.012270216514498071,-7.648611661366815e-06,-4.4592641191928505e-06,8.489638580292194e-06
1800.0,41801.41889414506,5518.500801015002,0.015321907100648452,-0.40243831842832195,3.0482060458131066,8.46322424266037e-06,-0.012958159461094814,-0.009050030494350454,0.015321907100648452,-7.938376267456914e-06,-4.0500555460205396e-06,8.46322424266037e-06
2160.0,41642.1543020498,6613.827437170468,0.018363038021369814,-0.48231416333611377,3.0365924494514553,8.430977140291124e-06,-0.015867315072434773,-0.010432127941215504,0.018363038021369814,-8.222671368598558e-06,-3.6257757715237886e-06,8.430977140291124e-06
2520.0,41454.19257669603,7704.596242587253,0.021391513359592204,-0.56185768126033,3.0228862175413216,8.39291948749109e-06,-0.01887780298073632,-0.011658815540390834,0.021391513359592204,-8.501301094371541e-06,-3.1867170795527997e-06,8.39291948749109e-06
2880.0,41237.66322908163,8790.055524757257,0.024405245916467755,-0.6410140619061067,3.00709679144839,8.349077501744776e-06,-0.021987548975928653,-0.01272482702338361,0.024405245916467755,-8.774073474896709e-06,-2.7331819335110933e-06,8.349077501744776e-06
3240.0,40992.71545506483,9869.457248595441,0.027402158649351617,-0.7197287615088337,2.989235047659418,8.299481385683703e-06,-0.02519441044990515,-0.013625006806916022,0.027402158649351617,-9.040800572817057e-06,-2.26548276944057e-06,8.299481385683703e-06
3600.0,40719.518032646905,10942.057551766546,0.03038018610279783,-0.7979475403926969,2.969313290302196,8.244165306313721e-06,-0.028496177900551412,-0.01435431355433606,0.03038018610279783,-9.301298613229016e-06,-1.7839417785534777e-06,8.244165306313721e-06
3960.0,40418.2592057706,12007.117257142048,0.03333727583158566,-0.8756165003205362,2.947345242683314,8.183167371514718e-06,-0.03189057642393487,-0.014907823632650514,0.03333727583158566,-9.555388109066887e-06,-1.2888906880554838e-06,8.183167371514718e-06
4320.0,40089.146554713974,13063.90238203477,0.03627138981479717,-0.9526821216093679,2.9233460378495195,8.116529603828758e-06,-0.03537526728499132,-0.015280734523783365,0.03627138981479717,-9.802893986631846e-06,-7.806705335692574e-07,8.116529603828758e-06
4680.0,39732.40685316871,14111.684643860786,0.039180505859973166,-1.02909129998608,2.897332208179117,8.044297911554573e-06,-0.03894784958213731,-0.015468368102559872,0.039180505859973166,-1.0043645703444365e-05,-2.5963141784986136e-07,8.044297911554573e-06
5040.0,39348.28591210096,15149.741961880696,0.042062618996381196,-1.1047913831579828,2.869321674010526,7.966522057168167e-06,-0.04260586177844553,-0.015466173902131234,0.042062618996381196,-1.0277477367832116e-05,2.73867718246009e-07,7.966522057168167e-06
5400.0,38937.04841050182,16177.358954675017,0.04491574285643691,-1.179730207073097,2.8393337313157674,7.883255623091148e-06,-0.04634678353419703,-0.015269732209004624,0.04491574285643691,-1.0504227852916539e-05,8.194593548684679e-07,7.883255623091148e-06
5760.0,38498.977713143744,17193.827433011393,0.04773791104432801,-1.2538561318452592,2.807389038427315,7.794555974830127e-06,-0.050168037321600564,-0.014874757136726278,0.04773791104432801,-1.0723740906253704e-05,1.3767676359535782e-06,7.794555974830127e-06
6120.0,38034.375675467934,18198.4468877644,0.05052717849089909,-1.3271180773193683,2.773509601827371,7.700484221512494e-06,-0.05406699031164709,-0.01427709955669645,0.05052717849089909,-1.0935865258480663e-05,1.9454086371906166e-06,7.700484221512494e-06
6480.0,37543.56243573671,19190.52497255219,0.05328162279386456,-1.399465558252325,2.737718761009309,7.601105173845453e-06,-0.05804095609936272,-0.013472749967049816,0.05328162279386456,-1.1140454727104983e-05,2.524990622535169e-06,7.601105173845453e-06
